country,status
Ukraine,Ukraine
France,banned
Spain,banned
Sweden,banned
Germany,banned
Finland,banned
Norway,banned
Poland,banned
Italy,banned
United Kingdom,banned
Romania,banned
Belarus,not yet banned
Greece,banned
Bulgaria,banned
Iceland,banned
Portugal,banned
Czechia,banned
Denmark,banned
Hungary,banned
Serbia,not yet banned
Austria,banned
Ireland,banned
Lithuania,banned
Latvia,banned
Croatia,banned
Bosnia and Herz.,not yet banned
Slovakia,banned
Estonia,banned
Netherlands,banned
Switzerland,not yet banned
Moldova,not yet banned
Belgium,banned
Albania,not yet banned
North Macedonia,not yet banned
Slovenia,banned
Montenegro,not yet banned
Cyprus,banned
Luxembourg,banned
Faroe Is.,banned
Andorra,banned
Malta,banned
Gibraltar,banned
Monaco,banned
Kosovo,not yet banned
Russia,Russia
Turkey,not yet banned
